"Var1","Var2","value"
"장항선","조희봉",1
"황정민-1","조희봉",1
"김원해","조희봉",1
"이범수","조희봉",1
"천호진","조희봉",1
"김수로","조희봉",1
"성동일","조희봉",1
"이경영","조희봉",1
"윤진서","조희봉",1
"김응수","조희봉",1
"박철민","조희봉",1
"정경호-1","조희봉",1
"오달수","조희봉",1
"유승목","조희봉",1
"김수현","조희봉",1
"신정근","조희봉",1
"우현","조희봉",1
"정성화","조희봉",1
"정인기","조희봉",1
"오정세","조희봉",1
"이도경","조희봉",1
"엄정화","조희봉",1
"염정아","조희봉",1
"안내상","조희봉",1
"임현식","조희봉",1
"류승수","조희봉",1
"주현","조희봉",1
"오광록","조희봉",1
"조희봉","장항선",1
"김해숙","장항선",1
"김수로","장항선",1
"이정헌","장항선",1
"조덕현","장항선",1
"김기천","장항선",1
"황석정","장항선",1
"허준호","장항선",1
"유해진","장항선",1
"이경영","이다윗",1
"박해준","이다윗",1
"박희순","이다윗",1
"박해일","이다윗",1
"류승룡","이다윗",1
"고수","이다윗",1
"이승준","이은우",1
"신민아","이은우",1
"박해일","이은우",1
"김태훈","이은우",1
"한이진","김영선",1
"류승룡","김영선",1
"박종환","강신철",1
"김홍파","강신철",1
"박병은","강신철",1
"하정우","강신철",1
"김재화","강신철",1
"이지훈","강신철",1
"황정민-1","이희준",1
"조우진","이희준",1
"김상호","이희준",1
"김영재","이희준",1
"유승목","이희준",1
"김민재","이희준",1
"김민희","이희준",1
"이영진","이희준",1
"마동석","이희준",1
"유해진","이희준",1
"정인기","이희준",1
"김윤석","이희준",1
"이성민","이희준",1
"한예리","이희준",1
"민성욱","이희준",1
"정만식","이희준",1
"기주봉","이희준",1
"이선균","이희준",1
"안지혜","최귀화",1
"김의성","최귀화",1
"김영민","최귀화",1
"류준열","최귀화",1
"권태원","최귀화",1
"김민재","최귀화",1
"마동석","최귀화",1
"최무성","최귀화",1
"라미란","최귀화",1
"조희봉","황정민-1",1
"이희준","황정민-1",1
"강신일","황정민-1",1
"배성우","황정민-1",1
"김원해","황정민-1",1
"천호진","황정민-1",1
"류승범","황정민-1",1
"이경영","황정민-1",1
"박정민","황정민-1",1
"김상호","황정민-1",1
"주진모-1","황정민-1",1
"정웅인","황정민-1",1
"김응수","황정민-1",1
"오달수","황정민-1",1
"권태원","황정민-1",1
"김홍파","황정민-1",1
"유승목","황정민-1",1
"김민재","황정민-1",1
"김수현","황정민-1",1
"도용구","황정민-1",1
"한기중","황정민-1",1
"김병옥","황정민-1",1
"성지루","황정민-1",1
"마동석","황정민-1",1
"유해진","황정민-1",1
"박성웅","황정민-1",1
"이성민","황정민-1",1
"곽도원","황정민-1",1
"엄정화","황정민-1",1
"성병숙","황정민-1",1
"윤제문","황정민-1",1
"정규수","황정민-1",1
"송영창","황정민-1",1
"박지환","황정민-1",1
"정만식","황정민-1",1
"이대연","황정민-1",1
"김종수","황정민-1",1
"이해영","황정민-1",1
"오광록","황정민-1",1
"이봉규","황정민-1",1
"전배수","황정민-1",1
"라미란","황정민-1",1
"송강호","조영진",1
"천호진","조영진",1
"곽자형","조영진",1
